I, [2014-05-17T13:48:30.261919 #20640]  INFO -- : listening on addr=/home/mark/documents/sinatra/mark-mccormack/tmp/unicorn.myapp.sock fd=10
I, [2014-05-17T13:48:30.262227 #20640]  INFO -- : worker=0 spawning...
I, [2014-05-17T13:48:30.263026 #20640]  INFO -- : worker=1 spawning...
I, [2014-05-17T13:48:30.263550 #20643]  INFO -- : worker=0 spawned pid=20643
I, [2014-05-17T13:48:30.263692 #20643]  INFO -- : Refreshing Gem list
I, [2014-05-17T13:48:30.271630 #20640]  INFO -- : master process ready
I, [2014-05-17T13:48:30.273907 #20646]  INFO -- : worker=1 spawned pid=20646
I, [2014-05-17T13:48:30.274117 #20646]  INFO -- : Refreshing Gem list
I, [2014-05-17T13:48:30.636703 #20646]  INFO -- : worker=1 ready
I, [2014-05-17T13:48:30.636759 #20643]  INFO -- : worker=0 ready
/home/mark/.rvm/gems/ruby-2.1.2/gems/unicorn-4.8.3/lib/unicorn/http_server.rb:206:in `pid=': Already running on PID:20640 (or pid=/home/mark/documents/sinatra/mark-mccormack/pids/unicorn.pid is stale) (ArgumentError)
	from /home/mark/.rvm/gems/ruby-2.1.2/gems/unicorn-4.8.3/lib/unicorn/http_server.rb:135:in `start'
	from /home/mark/.rvm/gems/ruby-2.1.2/gems/unicorn-4.8.3/bin/unicorn:126:in `<top (required)>'
	from /home/mark/.rvm/gems/ruby-2.1.2/bin/unicorn:23:in `load'
	from /home/mark/.rvm/gems/ruby-2.1.2/bin/unicorn:23:in `<main>'
	from /home/mark/.rvm/gems/ruby-2.1.2/bin/ruby_executable_hooks:15:in `eval'
	from /home/mark/.rvm/gems/ruby-2.1.2/bin/ruby_executable_hooks:15:in `<main>'
127.0.0.1 - - [17/May/2014 13:50:34] "GET / HTTP/1.0" 200 308 0.0107
192.168.1.7 - - [17/May/2014 13:50:47] "GET / HTTP/1.0" 200 308 0.0130
192.168.1.7 - - [17/May/2014 13:50:48] "GET /favicon.ico HTTP/1.0" 404 446 0.0016
192.168.1.7 - - [17/May/2014 13:50:50] "GET / HTTP/1.0" 200 308 0.0014
192.168.1.7 - - [17/May/2014 13:50:55] "GET / HTTP/1.0" 200 308 0.0014
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0016
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0017
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0013
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0013
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0014
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0013
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0013
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0014
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0013
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0016
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0013
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0017
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0014
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0017
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0013
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0014
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0010
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0011
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0047
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0015
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0035
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0012
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0009
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0010
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0009
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0011
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0009
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0011
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0009
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0009
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0011
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0009
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0011
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0009
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0010
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0008
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0010
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0009
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0011
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0009
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0010
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0009
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0009
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0012
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0010
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0013
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0009
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0011
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0009
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0009
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0011
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0009
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0011
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0009
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0011
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0009
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0011
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0009
192.168.1.1 - - [17/May/2014 13:52:00] "GET / HTTP/1.0" 200 308 0.0009
